"id","name","state_id","latitude","longitude","created_at","updated_at"
"1","Aba North","1","5.130000","7.370000","2019-02-15 17:00:00","2018-09-17 10:34:52"
"2","Aba South","1","5.070000","7.340000","2019-02-15 17:00:00","2018-08-10 19:11:04"
"3","Arochukwu","1","5.390000","7.900000","2019-02-15 17:00:00","2018-08-10 19:11:05"
"4","Bende","1","5.560000","7.630000","2019-02-15 17:00:00","2018-08-10 19:11:06"
"5","Ikwuano","1","5.410000","7.590000","2019-02-15 17:00:00","2018-08-10 19:11:06"
"6","Isiala Ngwa North","1","5.290000","7.420000","2019-02-15 17:00:00","2018-08-10 19:11:07"
"7","Isiala Ngwa South","1","5.410000","7.420000","2019-02-15 17:00:00","2018-08-10 19:11:08"
"8","Isuikwuato","1","5.810000","7.480000","2019-02-15 17:00:00","2018-08-10 19:11:08"
"9","Obi Ngwa","1","5.200000","7.330000","2019-02-15 17:00:00","2018-08-10 19:11:09"
"10","Ohafia","1","5.620000","7.860000","2019-02-15 17:00:00","2018-08-10 19:11:09"
"11","Osisioma","1","5.200000","7.330000","2019-02-15 17:00:00","2018-08-10 19:11:10"
"12","Ugwunagbo","1","5.000000","7.330000","2019-02-15 17:00:00","2018-08-10 19:11:10"
"13","Ukwa East","1","4.910000","7.420000","2019-02-15 17:00:00","2018-08-10 19:11:11"
"14","Ukwa West","1","4.920000","7.240000","2019-02-15 17:00:00","2018-08-10 19:11:11"
"15","Umuahia North","1","5.580000","7.500000","2019-02-15 17:00:00","2018-08-10 19:11:12"
"16","Umuahia South","1","5.490000","7.420000","2019-02-15 17:00:00","2018-08-10 19:11:12"
"17","Umu Nneochi","1","5.950000","7.420000","2019-02-15 17:00:00","2018-08-10 19:11:13"
"18","Demsa","2","9.460000","12.150000","2019-02-15 17:00:00","2018-08-10 19:11:13"
"19","Fufure","2","9.230000","12.710000","2019-02-15 17:00:00","2018-08-10 19:11:14"
"20","Ganye","2","8.440000","12.050000","2019-02-15 17:00:00","2018-08-10 19:11:15"
"21","Gayuk","2","9.820000","11.930000","2019-02-15 17:00:00","2018-08-10 19:11:15"
"22","Gombi","2","10.160000","12.740000","2019-02-15 17:00:00","2018-08-10 19:11:16"
"23","Grie","2","9.370000","12.550000","2019-02-15 17:00:00","2018-08-10 19:11:16"
"24","Hong","2","10.230000","12.930000","2019-02-15 17:00:00","2018-08-10 19:11:17"
"25","Jada","2","8.770000","12.160000","2019-02-15 17:00:00","2018-08-10 19:11:17"
"26","Lamurde","2","9.610000","11.800000","2019-02-15 17:00:00","2018-08-10 19:11:18"
"27","Madagali","2","10.890000","13.630000","2019-02-15 17:00:00","2018-08-10 19:11:18"
"28","Maiha","2","9.870000","13.130000","2019-02-15 17:00:00","2018-08-10 19:11:19"
