"id","name","latitude","longitude","code","created_at","updated_at"
"1","Abia","5.430900","7.524700","AB","2019-02-15 17:00:00","2019-02-15 17:53:24"
"2","Adamawa","9.325000","12.438100","AD","2019-02-15 17:00:00","2019-02-15 17:54:07"
"3","Akwa Ibom","4.930000","7.872200","AK","2019-02-15 17:00:00","2019-02-15 17:56:18"
"4","Anambra","6.275800","7.006800","AN","2019-02-15 17:00:00","2019-02-15 17:56:53"
"5","Bauchi","10.637100","10.080700","BA","2019-02-15 17:00:00","2019-02-15 17:57:25"
"6","Bayelsa","4.867800","5.898700","BY","2019-02-15 17:00:00","2019-02-15 17:58:04"
"7","Benue","7.350800","8.836300","BE","2019-02-15 17:00:00","2019-02-15 17:58:38"
"8","Bornu","12.120500","13.174000","BO","2019-02-15 17:00:00","2019-02-15 17:59:10"
"9","Cross River","6.167000","8.660100","CR","2019-02-15 17:00:00","2019-02-15 17:59:46"
"10","Delta","5.532500","5.898700","DE","2019-02-15 17:00:00","2019-02-15 18:00:46"
"11","Ebonyi","6.178000","7.959300","EB","2019-02-15 17:00:00","2019-02-15 18:03:30"
"12","Edo","6.543800","5.898700","ED","2019-02-15 17:00:00","2019-02-15 18:04:17"
"13","Ekiti","7.665600","5.310300","EK","2019-02-15 17:00:00","2019-02-15 18:05:05"
"14","Enugu","6.606900","7.524700","EN","2019-02-15 17:00:00","2019-02-15 18:05:41"
"15","Gombe","10.246400","11.161700","GO","2019-02-15 17:00:00","2019-02-15 18:06:13"
"16","Imo","5.603900","7.006800","IM","2019-02-15 17:00:00","2019-02-15 18:06:46"
"17","Jigawa","12.446000","9.723300","JI","2019-02-15 17:00:00","2019-02-15 18:07:29"
"18","Kaduna","10.159000","8.133900","KD","2019-02-15 17:00:00","2019-02-15 18:08:10"
"19","Kano","11.757400","8.660100","KN","2019-02-15 17:00:00","2019-02-15 18:08:47"
"20","Katsina","12.513900","7.611400","KT","2019-02-15 17:00:00","2019-02-15 18:09:27"
"21","Kebbi","11.678100","4.069500","KE","2019-02-15 17:00:00","2019-02-15 18:10:00"
"22","Kogi","10.160000","12.740000","KO","2019-02-15 17:00:00","2018-08-10 19:09:08"
"23","Kwara","9.370000","12.550000","KW","2019-02-15 17:00:00","2018-08-10 19:09:09"
"24","Lagos","10.230000","12.930000","LA","2019-02-15 17:00:00","2018-08-10 19:09:10"
"25","Nasarawa","8.770000","12.160000","NA","2019-02-15 17:00:00","2018-08-10 19:09:11"
"26","Niger","9.610000","11.800000","NI","2019-02-15 17:00:00","2018-08-10 19:09:11"
"27","Ogun","10.890000","13.630000","OG","2019-02-15 17:00:00","2018-08-10 19:09:12"
"28","Ondo","9.870000","13.130000","ON","2019-02-15 17:00:00","2018-08-10 19:09:13"
"29","Osun","9.050000","12.060000","OS","2019-02-15 17:00:00","2018-08-10 19:09:14"
"30","Oyo","10.560000","13.400000","OY","2019-02-15 17:00:00","2018-08-10 19:09:15"
"31","Plateu","10.380000","13.310000","PL","2019-02-15 17:00:00","2018-08-10 19:09:16"
"32","Rivers","10.190000","13.340000","RI","2019-02-15 17:00:00","2018-08-10 19:09:17"
"33","Sokoto","9.450000","12.030000","SO","2019-02-15 17:00:00","2018-08-10 19:09:18"
"34","Taraba","9.900000","12.010000","TA","2019-02-15 17:00:00","2018-08-10 19:09:19"
"35","Yobe","9.830000","12.620000","YO","2019-02-15 17:00:00","2018-08-10 19:09:20"
"36","Zamfara","8.120000","12.040000","ZA","2019-02-15 17:00:00","2018-08-10 19:09:21"
"37","FCT Abuja","9.070000","7.490000","FC","2019-02-15 17:00:00","2018-08-10 19:09:22"
